category_name,date,YEARS,MONTHS,Total_value
CANADIAN WHISKIES,2022-08-31,2022,8,244984.23
CANADIAN WHISKIES,2023-06-27,2023,6,244836.63
AMERICAN VODKAS,2022-09-23,2022,9,244683.67
AMERICAN VODKAS,2021-12-24,2021,12,244481.62
CANADIAN WHISKIES,2022-12-30,2022,12,244462.22
AMERICAN VODKAS,2021-05-19,2021,5,244425.2
AMERICAN VODKAS,2022-12-29,2022,12,243935.29
AMERICAN VODKAS,2023-12-05,2023,12,243884.05
AMERICAN VODKAS,2023-09-29,2023,9,243599.26
AMERICAN VODKAS,2021-08-17,2021,8,243501.39
CANADIAN WHISKIES,2021-08-17,2021,8,243326.94
AMERICAN VODKAS,2022-07-12,2022,7,243176.93
AMERICAN VODKAS,2021-03-25,2021,3,242967.19
AMERICAN VODKAS,2021-09-22,2021,9,242920.47
CANADIAN WHISKIES,2022-06-29,2022,6,242642.23
AMERICAN VODKAS,2023-12-20,2023,12,242621.33
AMERICAN VODKAS,2023-10-03,2023,10,242493.68
AMERICAN VODKAS,2023-03-24,2023,3,242487.17
CANADIAN WHISKIES,2021-02-05,2021,2,242422.04
CANADIAN WHISKIES,2021-03-23,2021,3,242145.79
CANADIAN WHISKIES,2023-12-19,2023,12,242043.4
AMERICAN VODKAS,2022-08-19,2022,8,241999.53
AMERICAN VODKAS,2023-03-10,2023,3,241733.62
AMERICAN VODKAS,2023-06-20,2023,6,241701.04
AMERICAN VODKAS,2021-06-09,2021,6,241445.8
AMERICAN VODKAS,2023-09-22,2023,9,241070.62
AMERICAN VODKAS,2023-10-06,2023,10,241005.61
CANADIAN WHISKIES,2022-05-03,2022,5,240840.08
SPICED RUM,2021-11-12,2021,11,240548.15
AMERICAN VODKAS,2023-03-20,2023,3,240509.1
AMERICAN VODKAS,2021-08-05,2021,8,240464.47
AMERICAN VODKAS,2023-01-03,2023,1,240327.65
AMERICAN VODKAS,2023-04-26,2023,4,240247.44
